z_m,T_K,u_m_per_s,rho_kg_per_m3,X_C2H4,X_O2,X_N2,X_H2O,X_CO,X_CO2,X_H2,X_OH,X_H,X_O,X_C2H2,X_CH4,X_C3H3,X_C4H2,X_C4H4,X_C6H6,X_C6H5,X_C7H8,X_C10H8,X_C10H7,X_C12H8,X_C14H10,X_C16H10,X_C18H10
0.0,300.0,0.0562273180201027,1.0670969576721923,0.8631217838136053,3.4695434480434125e-09,0.007001181895925956,0.11859617684229425,0.0009802802602416427,0.0002976816984148552,0.009587915871029843,7.178266914576818e-17,1.375651350812299e-13,2.649307674011908e-15,0.00035272338674781063,5.408074096452838e-05,7.097830340764628e-10,3.255348852641328e-06,2.7620089425232064e-07,4.578481135921725e-07,1.5407835100216281e-15,9.588236122886893e-09,6.777345743298353e-09,4.3132656895955245e-16,3.5495415600319995e-09,6.222427917753626e-10,3.996994693309487e-10,9.152618524699075e-10
0.0005,320.7253199279128,0.05804100142862562,0.9951314251077632,0.8475326817674693,8.301181973558713e-09,0.01674772804436828,0.11833922683279612,0.002356241777427092,0.0008685176013330716,0.013042462420510402,2.475818503977309e-19,1.907164897454919e-16,5.701769322329528e-19,0.000957231608457279,0.00012558091607698304,2.3415467610263124e-09,1.2200906362112423e-05,1.1294667592126963e-06,2.08893062286452e-06,4.275017312725711e-16,4.856514856100482e-08,4.059753933920661e-08,2.5813325798185865e-15,2.312707637930383e-08,4.553196027083869e-09,3.1395875098447777e-09,7.228683362189159e-09
0.001,364.6914538532173,0.0589798236621822,0.8720576779174664,0.8159079098642475,1.879570153793466e-08,0.03776997099516608,0.11848950283801586,0.0053334855524724955,0.0023479699774489066,0.017358824186868176,1.9309378089821206e-18,1.3883002976089238e-15,7.146117311634152e-19,0.002414031216451156,0.00027446370405439266,7.200709143454132e-09,4.1767209150090545e-05,4.203740140512868e-06,8.625157913854527e-06,1.512610353771344e-15,2.2173271019270328e-07,2.178739977060058e-07,1.1040850771775648e-14,1.3463682110272244e-07,2.968019681740319e-08,2.1931071504060475e-08,5.076512186211334e-08
0.00125,400.4020167545045,0.05929403766754275,0.7928803918626471,0.790065976629897,2.7729484595087042e-08,0.05536699320147562,0.1188714505376305,0.007828929468353023,0.0037705130780758644,0.01977688843396969,6.756096807791168e-18,3.706530109721702e-15,7.500476613780805e-19,0.0037328795221291296,0.00039515852719917375,1.2502168393559698e-08,7.644019296987831e-05,8.084860155670836e-06,1.7649989452780393e-05,2.9573709869145966e-15,4.833612947744556e-07,5.276453513035598e-07,2.1839762610401727e-14,3.445180208048819e-07,8.218177826814571e-08,6.380121189226738e-08,1.4825460632531812e-07
0.0015,446.9045984035953,0.05923129665484519,0.7092840539480326,0.7555302130896461,3.998540707962286e-08,0.07911305976344331,0.11949802970334474,0.011196169534947644,0.005874638429742128,0.022291847943831083,3.0995958327946645e-17,9.967656060135402e-15,7.44206808388448e-19,0.005599058987583727,0.000553933279147287,2.107017701606748e-08,0.00013564645422273666,1.5096857730318992e-05,3.509292388845427e-05,6.717585557197435e-15,1.0262912690031522e-06,1.2496774399135548e-06,4.3477358372594736e-14,8.644239580562801e-07,2.2406000623417444e-07,1.8325243043612705e-07,4.275644103943161e-07
0.00175,503.7212540682032,0.05824691055169129,0.6285592793586786,0.7121558158214695,5.5895280504776085e-08,0.1091236929552218,0.12032320188754644,0.015447562536954576,0.008740578601583898,0.024836148327573453,2.6618980646642683e-16,2.5523417341277492e-14,7.386419835147039e-19,0.008041214574447973,0.000749655272831645,3.350508636021028e-08,0.0002268951306033842,2.6461899729920497e-05,6.505712073144067e-05,1.972796935446412e-14,2.020378116092689e-06,2.7160206194510233e-06,9.22224433649562e-14,1.9800595932470606e-06,5.536068898830081e-07,4.74814997891409e-07,1.1119619020132808e-06
0.001875,535.7689539839376,0.05723158020044226,0.5907370024225347,0.6873319053904784,6.536385245844067e-08,0.12635346212422605,0.12078854435929132,0.017885324501264767,0.010466967605176038,0.026100462010217835,9.31663994874922e-16,4.2613757031963173e-14,7.784958641740537e-19,0.009471449201076725,0.000859984113155533,4.136650518846658e-08,0.00028670050505764385,3.418435381844362e-05,8.62645712931062e-05,3.6506129236468323e-14,2.7576133201493155e-06,3.890183230757389e-06,1.4206085516903778e-13,2.911507923255404e-06,8.460318080538944e-07,7.437395481065223e-07,1.745070921839934e-06
0.002,570.125636716136,0.05579165454436249,0.5550106254621529,0.6605742227013437,7.590211519933931e-08,0.14495597175597094,0.12127693538721894,0.020514452667588053,0.012385361252853886,0.027351334373906945,2.8562060699259625e-15,7.458238855295336e-14,9.083420773349243e-19,0.01103213536987136,0.000977669109682483,5.045709108865104e-08,0.000356771117166313,4.344802705204575e-05,0.00011238001262513319,6.642819865661517e-14,3.694211599925652e-06,5.461004279925134e-06,2.072388199451295e-13,4.194045272420203e-06,1.2662010959129163e-06,1.1408929442249522e-06,2.6819959875543346e-06
0.002125,606.6087217026023,0.0538658019871138,0.5215902138358287,0.6321406629871582,8.756356388762388e-08,0.16475113767950586,0.12177829737055489,0.023308763253217363,0.014477490942714659,0.028583682063372383,6.502554944057856e-15,1.4130608197185e-13,1.2603122295052147e-18,0.012706331229852909,0.0011014916349381032,6.090427571434355e-08,0.0004367959352026837,5.4251850371877826e-05,0.00014353867280529048,1.1578795876712601e-13,4.843043996771092e-06,7.4780898602005195e-06,2.5875384816851634e-13,5.883853806866702e-06,1.8412734729586526e-06,1.6980111490449306e-06,3.998632262621134e-06
0.00225,645.0395342362891,0.05140255498675803,0.49054910036790417,0.6023194225392605,1.0043991600337121e-07,0.1855373661303627,0.12228401361964769,0.026239196575978348,0.016720372755488277,0.029793455274166047,1.1541537469187162e-14,3.018083735039861e-13,2.1708438811132926e-18,0.014474716709140252,0.001230165005801343,7.295782025228676e-08,0.0005260651978485892,6.65282514662716e-05,0.00017964331030707436,1.97284134797236e-13,6.206938312651857e-06,9.970932131037585e-06,2.6508642953174967e-13,8.020185934734143e-06,2.5931539157148287e-06,2.4424921007254368e-06,5.760612123095357e-06
