z_m,T_K,u_m_per_s,rho_kg_per_m3,X_C2H4,X_O2,X_N2,X_H2O,X_CO,X_CO2,X_H2,X_OH,X_H,X_O,X_C2H2,X_CH4,X_C3H3,X_C4H2,X_C4H4,X_C6H6,X_C6H5,X_C7H8,X_C10H8,X_C10H7,X_C12H8,X_C14H10,X_C16H10,X_C18H10
0.0,300.0,0.08903743268009938,1.123123129108698,0.998419813803756,1.836452490258988e-11,4.5727779417713724e-05,1.4475787999742282e-05,6.3559830868223306e-06,5.381550049549673e-07,0.0015115602251468158,5.890481346690284e-13,-5.130285302925963e-14,1.2495974073699211e-14,1.0901343943882737e-06,4.3380385558551765e-07,-5.650934728283618e-13,1.3218306862168272e-09,6.221529601722616e-11,4.7832400587287036e-11,1.6253965688785772e-15,4.668199191182853e-13,9.109904109275987e-14,1.2487584593179875e-18,2.429217674652961e-14,2.3949633678620753e-15,3.8708046968212493e-16,1.7659245063242988e-15
0.0005,300.1539870812392,0.08767847879011596,1.1215865458880927,0.9973519249058113,6.082512190354094e-11,0.0001522218362839286,4.6898788523694565e-05,2.129378843212e-05,2.2700366152570053e-06,0.0024197499408413004,3.0653859969081527e-18,-5.743530974302863e-18,2.2131672829766043e-19,4.228075907186762e-06,1.3899938217821123e-06,-2.75844725143379e-12,7.4254816533109e-09,3.8488206339658815e-10,3.333688664098376e-10,9.193037623615023e-17,3.656746445961671e-12,8.528860680215044e-13,9.584931861254206e-18,2.517707400080812e-13,2.0500940299596162e-14,7.534268550339105e-15,2.0837104731877973e-14
0.001,300.7025423402213,0.08350908478004421,1.11799761315268,0.9953834538478208,2.0124497617025305e-10,0.0005022203217477575,0.00015059514104706875,7.06996380609747e-05,9.473445022820843e-06,0.00386279121865418,3.0765172185996664e-21,-8.530399159225922e-19,4.4626704241851234e-20,1.6232964466627168e-05,4.415334851860007e-06,-1.32507609287159e-11,4.119745622605553e-08,2.350053993809184e-09,2.292245996899735e-09,1.3319579144915002e-17,2.8246796725373525e-11,7.865991944262828e-12,5.988278170644499e-17,2.546840949858756e-12,2.2577128569764907e-13,9.461721406327043e-14,2.5448926233789465e-13
0.00125,301.4732786553985,0.0804630613119048,1.1140271505280797,0.9936695957497658,3.8610162117485747e-10,0.0009615108659560755,0.00028336326586456465,0.00013589797257300724,2.1157588647003192e-05,0.004885628890348051,7.199236044702013e-21,-6.063114990777875e-19,6.827748526545252e-20,3.42821371025125e-05,8.253178147304094e-06,-3.268549591138567e-11,1.1245613478659666e-07,6.8856915081394e-09,7.348852223262983e-09,1.7700252564396688e-17,9.912631333525848e-11,3.181014046126396e-11,1.1722457445668738e-16,1.11016452435672e-11,1.0816719864725648e-12,4.838530295654695e-13,1.304374768856679e-12
0.0015,303.1250719651535,0.07690745246200714,1.1065249189276418,0.9909666651939665,7.628582025579665e-10,0.0018958097926194538,0.0005478534417053049,0.00026913342483490853,4.9530098966645346e-05,0.006178904622856229,1.9188055215825654e-20,-7.788148804796246e-19,1.0331805302109284e-19,7.538123640795178e-05,1.584482494999149e-05,-8.558346470842937e-11,3.298003261775814e-07,2.1864977703401564e-08,2.5810137019604106e-08,3.4757757378229785e-17,3.851196923641036e-10,1.4469129508071323e-10,2.298503143243739e-16,5.486753833291497e-11,5.9499247175976355e-12,2.8508475107819546e-12,7.722519645659842e-12
0.00175,306.5294982155489,0.07302204535767144,1.0924141386620556,0.9865673895336233,1.506685563816794e-09,0.003737251344024948,0.0010579721469444238,0.0005328776622744466,0.0001159292703796892,0.007789981336244721,5.939140756374903e-20,-3.19276031852076e-18,1.510182802026179e-19,0.000165705897607636,3.0400600498690626e-05,-2.2445821746813986e-10,9.65483823903962e-07,6.923617068071723e-08,9.023586287122974e-08,6.876267520330433e-17,1.4864925204565383e-09,6.515733573396205e-10,4.434776284164616e-16,2.679485458768496e-10,3.228044678610949e-11,1.653448072686374e-11,4.502205390599767e-11
0.001875,309.4713232473453,0.07106716262597726,1.0809407850008714,0.9832856769791635,2.129968090504359e-09,0.0052777042570034596,0.0014765998812863973,0.0007542815473748335,0.0001799614872720374,0.008730808241509803,1.139466462479302e-19,-7.986651742626056e-18,1.7939549262480503e-19,0.00024832224061747537,4.230061556194493e-05,-3.732230368445936e-10,1.707586530038333e-06,1.284552944061691e-07,1.7809677456318354e-07,9.964176641618494e-17,3.1268516153645344e-09,1.5192002637919337e-09,6.294704569423805e-16,6.607212975706996e-10,8.577009443794608e-11,4.611096397044739e-11,1.2604235367812088e-10
0.002,313.7417297299648,0.06919236879842784,1.065009944689404,0.9789046031044037,3.018545067270355e-09,0.007471045720711546,0.0020633330006007314,0.0010703142131036033,0.0002814429023230748,0.009768556078176505,2.311399359064189e-19,-2.0747031622940442e-17,2.0998428530185626e-19,0.00037403124350034563,5.894995177085487e-05,-6.289791066568974e-10,3.074570053958812e-06,2.4375580085480746e-07,3.6180366426786435e-07,1.5184280130553429e-16,6.818020606509772e-09,3.7162347926722344e-09,9.453554124603442e-16,1.7209403165882136e-09,2.429579431145932e-10,1.3792293887793872e-10,3.786576189549544e-10
0.002125,319.7865797087618,0.06746076905662027,1.0435325207011394,0.9730861340169639,4.261327895051652e-09,0.010534040790978532,0.002868907248000431,0.0015126711822470817,0.00043843511286946994,0.010903305251193708,4.772885292539002e-19,-5.570731832220903e-17,2.409211267124566e-19,0.0005609740757780122,8.180024497844893e-05,-1.0488248862238349e-09,5.520059680574045e-06,4.6144386326608737e-07,7.334839644463465e-07,2.389392504072485e-16,1.4840290066010069e-08,9.074791262896928e-09,1.492310387908811e-15,4.473743463763409e-09,6.86577485091498e-10,4.113818471891322e-10,1.1343346727168998e-09
0.00225,328.1006729400797,0.06592815340360772,1.0156260103983228,0.9654399291307094,5.962363117351035e-09,0.014718133203362087,0.003949023623683316,0.0021181834504825138,0.0006746815084506478,0.012131692701139778,9.539141265617938e-19,-1.2706685481032915e-16,2.6991499466668e-19,0.0008317756656457515,0.00011247971570461087,-1.6100323853434825e-09,9.750616780081555e-06,8.581694030451372e-07,1.4575397739711637e-06,3.78049612568037e-16,3.1591186355772097e-08,2.1589663360732646e-08,2.4201600650808013e-15,1.1306872400866178e-08,1.881202057107769e-09,1.1876496154917045e-09,3.28861291873861e-09
