z_m,T_K,u_m_per_s,rho_kg_per_m3,X_C2H4,X_O2,X_N2,X_H2O,X_CO,X_CO2,X_H2,X_OH,X_H,X_O,X_C2H2,X_CH4,X_C3H3,X_C4H2,X_C4H4,X_C6H6,X_C6H5,X_C7H8,X_C10H8,X_C10H7,X_C12H8,X_C14H10,X_C16H10,X_C18H10
0.0,300.0,0.05542897700167353,1.0824663060758295,0.9012293135751555,2.9008271027565477e-09,0.007386267181872936,0.07972348778226009,0.0010429235062912982,0.0003120642411119838,0.009857561902353859,1.496204175329441e-14,-7.463255250844057e-16,-3.5390253062675243e-16,0.0003820534841535114,5.7094614688966454e-05,6.957094552494597e-10,3.71475182108709e-06,3.1366684600221395e-07,5.354170039396752e-07,-5.398253671549426e-16,1.1204517845284408e-08,8.24204178403044e-09,3.382269136603452e-16,4.377856516314033e-09,7.899106792439359e-10,5.086542746338052e-10,1.254585725460125e-09
0.0005,321.446409088299,0.05733729403627156,1.006818960072291,0.8839936661681764,6.905193888917499e-09,0.017577520308901393,0.0804593849004999,0.0024936562140497956,0.0009045947014820773,0.013374915158905555,2.43782527203217e-19,1.9376643443209829e-16,-3.169338063143927e-20,0.0010304426569383643,0.00013175251481314265,2.279208032011984e-09,1.3819746116392591e-05,1.2725377714299056e-06,2.4212803025610652e-06,2.7625113666336863e-16,5.628198431675019e-08,4.8902908343607314e-08,2.002173910188022e-15,2.8270437394656593e-08,5.7200498924499605e-09,3.953400121556723e-09,9.8050237761186e-09
0.001,366.4071308710312,0.05835978978148898,0.8795678699661013,0.8494435766638807,1.556302008251097e-08,0.039395054285179434,0.08239477727419806,0.0056092353786403775,0.0024263170678879347,0.017750199721195747,1.4857883505775521e-18,1.3427130763660832e-15,-3.592284921091422e-20,0.0025791599844796976,0.0002858940948642131,6.957746528471746e-09,4.6874499883031194e-05,4.6900037538690985e-06,9.888735660645583e-06,1.1205861144409745e-15,2.5427011429333307e-07,2.593177801691073e-07,8.366517756082445e-15,1.6269563743840964e-07,3.679958086702578e-08,2.7249422617497898e-08,6.794800467751284e-08
0.00125,402.5682311210793,0.05867556613452805,0.7987721084343486,0.8215388208142711,2.291755655064955e-08,0.05752305584907955,0.0840776089708584,0.00820146998773479,0.0038761181582991403,0.02019220687172119,5.221125939949367e-18,3.591992172110907e-15,-3.65443913695825e-20,0.00396884793103781,0.00040985813277384317,1.2019451381322834e-08,8.52173444013801e-05,8.954831099562422e-06,2.0068177048294467e-05,2.281133911766105e-15,5.496308402499536e-07,6.217713554947802e-07,1.6580859737338835e-14,4.121810591273462e-07,1.0072541970346436e-07,7.832963199902937e-08,1.9607778503445754e-07
0.0015,449.3692027421906,0.05857330180733677,0.7140670014199066,0.7845519313949,3.300021470025893e-08,0.08185569053575671,0.086305843949751,0.011681022676330654,0.006006054564199945,0.02272673994027189,2.480667541854135e-17,9.662212887125414e-15,-2.7634151593633e-20,0.0059226554873134,0.000572039423124033,2.013209756476933e-08,0.00015012850644529949,1.658885415686259e-05,3.9537511372150284e-05,5.704231602630977e-15,1.1560434776289549e-06,1.456181581955242e-06,3.3581427839910703e-14,1.0225568667713073e-06,2.710565422464376e-07,2.2194722206430304e-07,5.57871165202176e-07
0.00175,506.3130850167597,0.05751571783082124,0.632599977752639,0.738426095709737,4.610736156059205e-08,0.11246340905293684,0.08900543682078514,0.01605417774193124,0.008889926435864002,0.0252870081248485,2.256719747665597e-16,2.481663375362884e-14,1.7385385281029296e-20,0.008465244285459498,0.0007710339097966023,3.179946233435942e-08,0.0002493919909532879,2.8857423594374158e-05,7.266243939877345e-05,1.861680785775302e-14,2.2553155019969345e-06,3.1310002940529923e-06,7.397789760892442e-14,2.316821681603649e-06,6.613688953281412e-07,5.675902454364726e-07,1.4320064794420266e-06
0.001875,538.3699707192518,0.0564555061117888,0.5944844813862022,0.7121568258933536,5.393062507716355e-08,0.12997646953044648,0.09049375763817478,0.018553573727036955,0.010619624004953048,0.026558224464794614,7.900583180415777e-16,4.1686146249770575e-14,8.102753839090442e-20,0.009948395067442191,0.0008828493438043046,3.914182628469819e-08,0.0003140657908380609,3.713926612109461e-05,9.593172369578653e-05,3.5581948628276455e-14,3.0640492458638474e-06,4.459293977419193e-06,1.161366076897197e-13,3.386708310196306e-06,1.0037788153724382e-06,8.825839555712748e-07,2.231010724251958e-06
0.002,572.7118850760033,0.05496737794694494,0.5584893158094468,0.6839215869975354,6.266092294931565e-08,0.14884843132615724,0.09205318958590591,0.021244247874685446,0.012536912643067204,0.02781558738762546,2.369613991564224e-15,7.358933732331332e-14,2.2483346315509728e-19,0.011563211207702635,0.001001913457705504,4.7616088901758564e-08,0.00038956799845301233,4.7033598991909684e-05,0.00012445119524764423,6.620384916930266e-14,4.08618005730663e-06,6.225022458326571e-06,1.7065435248933575e-13,4.849975459130062e-06,1.4919030518386876e-06,1.3438735634070829e-06,3.4035814393599945e-06
0.002125,609.1665001903064,0.05299190950769511,0.5248125789508408,0.6539932984222244,7.235453371053446e-08,0.16889597957162775,0.09366346202175029,0.02409937226741093,0.014623271943501994,0.02905408617526169,5.22304656660711e-15,1.4095606523282762e-13,5.474366069450457e-19,0.013292106205978135,0.0011269997853561458,5.7348283661527986e-08,0.00047552177824520007,5.853127348125282e-05,0.00015833606810058477,1.1774209135802213e-13,5.33414479658547e-06,8.479469620666356e-06,2.118785194593368e-13,6.7662248155398366e-06,2.155244953432167e-06,1.9860489536053958e-06,5.038968896049749e-06
0.00225,647.5626440022791,0.05047845433818778,0.4935228315572723,0.6226762667655039,8.310140756487417e-08,0.18991382403276041,0.09530544044202412,0.027089140641417774,0.016855495205513642,0.030269696847893105,9.065840704962384e-15,3.045979180108848e-13,1.3239747829014328e-18,0.015115039558957608,0.0012568106199559986,6.858264804309778e-08,0.0005711253374573897,7.155274392416968e-05,0.00019744967997653882,2.0454925183176435e-13,6.809430920523684e-06,1.1251018320707515e-05,2.165164793288231e-13,9.175207730991935e-06,3.0168371203439848e-06,2.8381450434533617e-06,7.212313345291909e-06
0.002375,687.7337916600829,0.04738609663368104,0.4645952414736507,0.5902890697528304,9.505001774338805e-08,0.21168626965378323,0.09696187384691274,0.03018246264789727,0.01920735835027532,0.031459323499762874,1.6876738311410195e-14,7.540184633836109e-13,3.1446213021816014e-18,0.017010819772049313,0.001390043916793204,8.179185933490793e-08,0.000675227159921205,8.59557612070047e-05,0.00024141659712107667,3.581208662763522e-13,8.502183607481931e-06,1.4540798537520589e-05,2.0819483061154176e-13,1.209072165827025e-05,4.089644899552149e-06,3.919105451262164e-06,9.972740732019156e-06
0.0025,729.5157792372986,0.04368316153251133,0.4379448108910918,0.5571521916543064,1.0843195110048066e-07,0.23399565249220752,0.0986176556448487,0.03334818599527159,0.021650997787266143,0.03262066026946715,4.0402236300919195e-14,2.0539336205034433e-12,6.826283492478808e-18,0.018958073521325544,0.001525436789840645,9.787170282176946e-08,0.0007864100084621112,0.00010154623758582725,0.0002896525154153724,6.315544159663405e-13,1.0391804422021432e-05,1.83211952906486e-05,2.3566850931019955e-13,1.5497330495095518e-05,5.37401066806566e-06,5.2341914880780704e-06,1.3333788526171742e-05
0.002625,772.7451184670435,0.03934675580100668,0.41345049103433323,0.523576924800448,1.2357145420605865e-07,0.256629929382031,0.10025992488649435,0.036556176329588505,0.024158212116517166,0.03375207957342025,1.0435354536574413e-13,5.833552065825251e-12,1.2836566189953193e-17,0.02093609095087826,0.0016618013675077942,1.1847852439612488e-07,0.0009030871053339928,0.00011809249997504022,0.00034141100344094085,1.0987053688265013e-12,1.2448585660799178e-05,2.25377365647292e-05,3.635983788470614e-13,1.935076034268586e-05,6.856745712630105e-06,6.7732134285944035e-06,1.7268532660656615e-05
0.00275,817.2574635087237,0.03436222682285462,0.390972325786332,0.48985662496949844,1.4089574516501956e-07,0.2793887145639599,0.10187801373174403,0.039778156779741405,0.02670155996921574,0.03485252636055286,2.397138450693204e-13,1.7364862653798468e-11,2.1622138857656973e-17,0.022925477893692325,0.0017980501074025589,1.4659502231937054e-07,0.0010235973873117903,0.0001353406134829953,0.0003958381996244725,1.86701563772761e-12,1.4635995860273514e-05,2.7113735688391506e-05,7.099047214251379e-13,2.358160304425924e-05,8.511911925989753e-06,8.510867775637866e-06,2.171033467551831e-05
0.002875,862.8865972375767,0.02872259433703062,0.370363076474258,0.4562603346462864,1.609462701709881e-07,0.30208772628875474,0.10346329500755615,0.042988307099676576,0.029255220856742738,0.035921421340508713,5.006233829975181e-13,5.581064753756355e-11,3.629496834057556e-17,0.02490861963712366,0.0019332117251000618,1.8746698089279703e-07,0.0011462920970675395,0.00015302905772670428,0.00045202789469900523,3.1716094624653135e-12,1.6913214949266677e-05,3.195670041334657e-05,1.5938400111009011e-12,2.810146068035135e-05,1.0302966816040074e-05,1.0409017909093858e-05,2.6558831405544815e-05
0.003,909.4640430610633,0.02242797638241797,0.35147577341814507,0.4230286060827734,1.8438584725299195e-07,0.3245617295678392,0.1050089727647965,0.04616364047476416,0.031795614969134654,0.03695857454661638,1.0390049855619422e-12,1.9101607616865756e-10,6.606764974719003e-17,0.026869977542722374,0.002066439028184673,2.501763497931983e-07,0.0012696082496317467,0.00017090141408935953,0.0005090706753645045,5.676981357474849e-12,1.9237527378627635e-05,3.696533827149145e-05,3.985058469268908e-12,3.2810390189683656e-05,1.2185657354299242e-05,1.2420390472962889e-05,3.168946293436163e-05
0.0030625,933.0434810719935,0.01903631561970479,0.3426371507891804,0.40662862725001436,1.976890795916765e-07,0.3356599615216919,0.10576485401802185,0.04773071548808566,0.03305298169431908,0.037465214417645644,1.52827788549912e-12,3.580251266404082e-10,9.314860579176125e-17,0.027837457059721675,0.002132052562863297,2.957331648209436e-07,0.0013309723554696827,0.00017981697917236503,0.0005375885280351224,7.93210684133728e-12,2.040154850606465e-05,3.9493723569758305e-05,6.5976169981369415e-12,3.519768109650165e-05,1.3143381673298052e-05,1.3449562114254628e-05,3.4310003454690894e-05
0.003125,956.8007653254722,0.01548410136478441,0.3341742085324057,0.3903963462419028,2.1215416729987855e-07,0.3466491699106656,0.10650897387947128,0.04928180651573776,0.03429937352987148,0.03796397981004657,2.2848107432257376e-12,6.685211988863951e-10,1.3514561789956575e-16,0.028794661145057545,0.002196919928543164,3.5373343395159556e-07,0.001391974024628626,0.0001886893103936087,0.0005659958139563436,1.1486046812041694e-11,2.156135358043436e-05,4.202489756176776e-05,1.100574817135371e-11,3.759352682178309e-05,1.410538582955503e-05,1.448754962223121e-05,3.694876827938896e-05
0.0031875,980.713781269409,0.01177305160435638,0.32607087800315593,0.37435306209326114,2.2790175705598278e-07,0.35751461851741373,0.1072408980150573,0.050814897888708035,0.03553261918257204,0.03845492458526063,3.474680055940007e-12,1.2364840239264551e-09,2.0235919294332461e-16,0.029740287434043538,0.0022609698957603906,4.281399429664857e-07,0.0014524661942221984,0.00019749132596316675,0.0005941923282915163,1.7288238131942187e-11,2.271174137655841e-05,4.4546331317791924e-05,1.8438295431019662e-11,3.9985343691211895e-05,1.5065059105367362e-05,1.5527744595364802e-05,3.958720371236992e-05
0.00325,1004.760414545362,0.007905226506353209,0.31831158064400317,0.3585181127596001,2.450620731505122e-07,0.36824290478466815,0.10796026359126011,0.0523281632447818,0.036750733737220855,0.03893811431559707,5.3625099539500075e-12,2.2496743686563816e-09,3.125198268962315e-16,0.030673177160421686,0.0023241383827952394,5.241855697024206e-07,0.0015123166059960807,0.0002061973570679949,0.0006220826004405361,2.6953253469207128e-11,2.3847607791222266e-05,4.704598669481093e-05,3.080972951963045e-11,4.236116422015418e-05,1.60157356796039e-05,1.6563802350435736e-05,4.220639849009247e-05
0.0033125,1028.918583351438,0.00388300981083024,0.3108812605999166,0.3429089351941403,2.6377559146850985e-07,0.3788219244576578,0.1086667723815936,0.05381995946709239,0.03795191582133188,0.03941362411532453,8.360094490860007e-12,3.998308613844254e-09,4.953245085669941e-16,0.031592311232184735,0.0023863680476794063,6.487861551637462e-07,0.001571408662552557,0.00021478296355295753,0.0006495756450120268,4.314848169221846e-11,2.4963910436300156e-05,4.951237822104138e-05,5.1024157694635367e-11,4.4709768188850084e-05,1.6950692252832323e-05,1.758973381289427e-05,4.478659845553083e-05
0.003375,1053.166274242228,-0.0002909098097312037,0.303765418545355,0.3275411385802738,2.8419394060925127e-07,0.3892408284479846,0.10936018430999528,0.055288819612292775,0.03913454322601297,0.039881536118462554,1.3094940596424787e-11,6.902223350516368e-09,7.996212254564373e-16,0.03249680483791915,0.002447607811694703,8.110848485233126e-07,0.0016296421551843503,0.00022322460877495731,0.0006765843763444644,7.019639038631948e-11,2.6055604576490095e-05,5.193460560617649e-05,8.343980560558882e-11,4.702078615477378e-05,1.7863123813866164e-05,1.8599976233267384e-05,4.730634233847876e-05
0.0035,1101.893171151697,-0.00908164292812972,0.29040902331139523,0.297565237996004,3.3059083128644605e-07,0.4095731956464927,0.1107075836731702,0.058154412751352934,0.04144028044439448,0.04079501060185917,3.162008573175061e-11,1.8350315115319062e-08,2.0982195437504065e-15,0.034259999646785465,0.00256700732449023,1.2837140671481748e-06,0.0017433074006553565,0.00023961085308997168,0.0007289109372172215,1.83819199994815e-10,2.8150494941287295e-05,5.6617003375074475e-05,2.0641251234923123e-10,5.150288407907182e-05,1.9600390442642507e-05,2.0558617870500703e-05,5.2093432939502436e-05
0.0035625,1126.299334952435,-0.01369204243740798,0.2841503724391721,0.28299707283593856,3.5716320999707355e-07,0.4194592629537841,0.11136079887160474,0.05954742068479271,0.04255934805729335,0.04124063083329678,4.8849217586281454e-11,2.8424214052515066e-08,3.3941645685358563e-15,0.0351165610255955,0.0026250286160092585,1.6484856740718067e-06,0.0017985464347861093,0.0002474810305515397,0.0007539703386606587,2.946767397067192e-10,2.9136645585626987e-05,5.884800801775185e-05,3.1650554363890215e-10,5.364950126685292e-05,2.04032132151592e-05,2.149386896911859e-05,5.426597785871517e-05
0.003625,1150.712799334687,-0.01844086956987624,0.2781530287417096,0.2687152561406273,3.861778494604495e-07,0.4291539995671058,0.11200046080676099,0.06091331867663547,0.043655145596772624,0.04167897696749564,7.479725134322104e-11,4.253530368510177e-08,5.434400716574936e-15,0.035956154635761864,0.002681909551597759,2.125714698069103e-06,0.001852703752392011,0.00025511229929195916,0.0007782173053507457,4.651684548682122e-10,3.0075946110134877e-05,6.099780064522886e-05,4.740277929255084e-10,5.572756992702081e-05,2.1155159797896906e-05,2.2396584758580466e-05,5.625267181888839e-05
0.0036875,1175.112304553816,-0.02332423015666725,0.27240535270062477,0.254727366417497,4.178684298566117e-07,0.43865226005837243,0.11262655156935603,0.06225142884638091,0.04472688460914272,0.04211009802276092,1.1381322117349286e-10,6.189292600696362e-08,8.622295705675891e-15,0.03677840414546621,0.002737621049108181,2.751487183978598e-06,0.001905767246892687,0.00026247620016330876,0.0008015636664445247,7.247564578879343e-10,3.0961082309495405e-05,6.305840813929744e-05,6.972891797200947e-10,5.7731956820275585e-05,2.1848523223545543e-05,2.326383058390463e-05,5.800703612569144e-05
0.00375,1199.477193061334,-0.02833804329165984,0.2668961361138444,0.24103983439832083,4.5249744391608884e-07,0.447949807949489,0.11323908250525064,0.0635611969098702,0.04577391116603702,0.04253401068656023,1.7262848167637961e-10,8.817450089117319e-08,1.3587497081934444e-14,0.037582953041997186,0.002792134814601549,3.5729851254035905e-06,0.0019577409709215098,0.000269539725351461,0.000823912969549327,1.1177388153863859e-09,3.17833564573277e-05,6.502213650010124e-05,1.0120638079737724e-09,5.965846066878866e-05,2.2475245543371416e-05,2.40930737970015e-05,5.9475828163678526e-05
0.0038125,1223.787565453437,-0.03347806709520835,0.26161457618895606,0.22765810843126216,4.90363534578741e-07,0.4570432542202723,0.1138380914975436,0.0648421831233565,0.04679569712981026,0.04295068418827941,2.6174367595364143e-10,1.2375926862634175e-07,2.1322102898995472e-14,0.038369416860581596,0.0028454213986905965,4.651560731879303e-06,0.0020086442790668694,0.0002762632097093664,0.000845157616850829,1.7112888419888487e-09,3.253218431467924e-05,6.688140504596789e-05,1.4553811277412364e-09,6.150371197743284e-05,2.3026938676457407e-05,2.4882098196650897e-05,6.059912208952202e-05
0.003875,1248.024487251749,-0.03873992793600096,0.2565502410069311,0.21458683855503677,5.31811068999482e-07,0.46592999951019637,0.11442364094701021,0.06609405369096466,0.04779183192061699,0.04336002029885146,3.975076927056671e-10,1.7195302641871956e-07,3.338352264261171e-14,0.039137320330275546,0.002897447545925844,6.066259472518446e-06,0.0020585104267006357,0.00028259749943912845,0.0008651767628929986,2.6063076280910345e-09,3.31944992742865e-05,6.862853887181091e-05,2.0798502977208255e-09,6.326502536341231e-05,2.3494982487981182e-05,2.5628893206440576e-05,6.131055397837497e-05
0.0039375,1272.17026332052,-0.04411915460132144,0.2516930258922636,0.20183008212880688,5.772425612149125e-07,0.47460818115251474,0.11499581653097651,0.06731657272188936,0.04876201500163062,0.04376182729778362,6.053144307432432e-10,2.3722276163215558e-07,5.219708579963647e-14,0.03988601552246227,0.002948172492529239,7.917576378683568e-06,0.002107384233380011,0.0002884802495125054,0.0008838352730245056,3.952111809944582e-09,3.375407702443555e-05,7.025550999834555e-05,2.9589799546302945e-09,6.494018499339365e-05,2.387072776835997e-05,2.633151276202794e-05,6.153810857025892e-05
