z_m,T_K,u_m_per_s,rho_kg_per_m3,X_C2H4,X_O2,X_N2,X_H2O,X_CO,X_CO2,X_H2,X_OH,X_H,X_O,X_C2H2,X_CH4,X_C3H3,X_C4H2,X_C4H4,X_C6H6,X_C6H5,X_C7H8,X_C10H8,X_C10H7,X_C12H8,X_C14H10,X_C16H10,X_C18H10
0.0,300.0,0.09302602845401466,1.0749679596295723,0.8786464797350209,6.149660179567674e-11,8.270977015950384e-05,0.11979310710080736,1.1371180638616036e-05,1.4908911581639404e-06,0.001461752255859117,2.0268723104402374e-15,8.307941872506123e-14,-5.6065633968510924e-15,2.3489123338110296e-06,7.239220106399684e-07,-6.601656042479944e-13,5.500166504216975e-09,3.3402430331129827e-10,3.2994402396136125e-10,-1.7959280443405985e-17,4.6524986002584e-12,1.4904137795623065e-12,-1.460394053403647e-18,5.491145506470412e-13,5.5296503105305964e-14,2.753139626995548e-14,6.029719148738707e-14
0.0005,300.3199313142713,0.09170749584718145,1.07293979460506,0.8776447655545643,2.0825393916923214e-10,0.0002798266904734559,0.11965552101986088,3.873031697090921e-05,6.412197612262019e-06,0.002363007344055099,7.892042485217961e-20,-1.2989277607261348e-16,-1.0063763543974259e-19,9.281551596236755e-06,2.367113014339669e-06,-3.2107981979657785e-12,3.156200974856792e-08,2.113417309079294e-09,2.3583549629100276e-09,-1.272793658194729e-16,3.7296170525182124e-11,1.433208546884966e-11,-1.3885845086156847e-17,5.772325084143327e-12,6.646788027503049e-13,3.485708906844742e-13,7.67890221304395e-13
0.001,301.4815295876919,0.08768412378028728,1.06740431325011,0.8756253977440638,6.833593954087469e-10,0.0009377218278376015,0.11942675037917037,0.0001306510982441935,2.726376424027842e-05,0.003807792027247619,8.483377136901675e-21,-3.709078207815832e-17,2.5021612062839855e-21,3.627715505341677e-05,7.667736549050746e-06,3.684997141741134e-11,1.7873631856907486e-07,1.3187739319658364e-08,1.6617624302335284e-08,-1.1295276846419785e-17,2.9540239915910527e-10,1.357069528024973e-10,-2.7993952716531894e-17,5.979532115709875e-11,7.79524386245955e-12,4.3974832255897606e-12,9.743665214168015e-12
0.0015,305.4862663582129,0.08146161365656414,1.0512682517235963,0.871110959411048,2.2191571261866666e-09,0.003044154025979359,0.11907467709773002,0.0004268452216721299,0.00011164207781669117,0.006068359868999625,-2.280898818207759e-21,-4.919197213211477e-19,-1.2080919317623836e-21,0.00013677888092568187,2.4071808107781033e-05,2.91947958594144e-10,9.697515573459737e-07,7.873589206386555e-08,1.1182857055091314e-07,2.6314533728980967e-17,2.2256209242727526e-09,1.2231128850686112e-09,-8.203071063355869e-17,5.891577161642443e-10,8.679722716910593e-11,5.2732157581905e-11,1.1751170366868053e-10
0.002,317.9490473764906,0.07418492098348281,1.0070435131996192,0.8603592843500505,6.762355506232097e-09,0.009265662852299676,0.11864306566780505,0.001306745997165255,0.00042363231679884563,0.009439196300719982,2.6213394397970737e-20,5.0613122697770125e-17,-1.3557983531743052e-20,0.0004792927019434367,7.088140221932097e-05,1.3719408994962284e-09,4.826961912695466e-06,4.301456998222136e-07,6.862442381236986e-07,-2.8353281818349675e-17,1.5248596342654867e-08,9.989097392255565e-09,6.33018013384943e-17,5.251658562588622e-09,8.726613305246524e-10,5.704585509750871e-10,1.2784461511434118e-09
0.00225,332.1424118730314,0.07093150625087176,0.9621956465617966,0.8495305312131669,1.1813300831244932e-08,0.016162207187351462,0.11850459624260348,0.0022863287866684593,0.0008410827347372729,0.011619172595354324,2.3619462919362614e-19,2.59427348279383e-16,-2.7273758185951696e-20,0.0009061770699835104,0.00012118158914709883,3.0173058218309608e-09,1.1409197158489056e-05,1.083367175638144e-06,1.8743819548345684e-06,2.633978378500987e-16,4.5099934245357935e-08,3.369035037005601e-08,1.8968008250692287e-15,1.894798837698468e-08,3.462214431209624e-09,2.4005354069045736e-09,5.404448004656478e-09
0.0025,355.9871752302161,0.06842962368786881,0.8958929777616569,0.832009201480738,2.033759905005329e-08,0.027767438906477915,0.11855246445513412,0.003939051649108894,0.0016506307434192757,0.014121540964636501,1.4633338382978279e-18,1.0989000211103256e-15,-4.3612670117004675e-20,0.00168831429578621,0.0002036281528078411,6.561256672973438e-09,2.6941948347046642e-05,2.7394995320362214e-06,5.169710638406821e-06,1.397968035201516e-15,1.3555628688948603e-07,1.1666758695529974e-07,9.370880710225789e-15,7.056349932184182e-08,1.428364520989411e-08,1.055124286722714e-08,2.3871567574011793e-08
0.00275,392.0625869462014,0.06658443968348988,0.81176854585915,0.8054914555750579,3.360475944468123e-08,0.04572311171892882,0.1188780499874768,0.00650004691089247,0.003068210436884698,0.016874047631664432,7.606259861607847e-18,3.840555087802065e-15,-5.0021360383744304e-20,0.0029870396952102413,0.0003277787957164547,1.3431673445074282e-08,5.947912720006591e-05,6.449613957465556e-06,1.3188056228117463e-05,4.008819021142287e-15,3.7478111246085436e-07,3.6806547493855616e-07,2.852207613632294e-14,2.382655473886595e-07,5.309124065989087e-08,4.16204821723229e-08,9.460054175064257e-08
0.003,441.2847767247306,0.06482416342235463,0.7198819300440188,0.7684596283047607,5.259767719711853e-08,0.07112002849183593,0.11950121092811798,0.010123464252379588,0.005290954986419665,0.019774945967910636,4.0406828221480337e-17,1.2164226290589023e-14,-2.846504334718559e-20,0.004926890953525282,0.0004986252329050849,2.5295525042881878e-08,0.00011922154973593989,1.3691552723822052e-05,3.002966773660681e-05,9.450988142455871e-15,9.171368117708199e-07,1.0134643519879245e-06,6.570895310491606e-14,6.975730586756264e-07,1.6962786637760073e-07,1.4040580897794426e-07,3.2049387116938493e-07
0.003125,470.838596225367,0.0637339545444613,0.6741821201377766,0.7457577581268311,6.453241944004297e-08,0.08678157687832799,0.11991245762239859,0.01235679971066446,0.006758566653419158,0.021247763201300278,1.145143328513888e-16,2.112358358307251e-14,7.834376907615377e-21,0.006163284667390456,0.0006017758413920069,3.3613673077733223e-08,0.0001633623251135934,1.9293014557299386e-05,4.377814187195476e-05,1.555512582688353e-14,1.3866753812104754e-06,1.6289029434891505e-06,1.0022359597044067e-13,1.1587236267781225e-06,2.95676789803658e-07,2.5237655386803214e-07,5.774765121178063e-07
0.00325,503.5566339647883,0.06236735943446887,0.6299953510823746,0.7202747565181281,7.819131108699532e-08,0.10441323445185965,0.12037607095514068,0.014869247409410003,0.008481390980159766,0.022719525105974817,4.026772764880488e-16,3.621769014478691e-14,8.801079450735996e-20,0.007581144178233025,0.0007162241055680641,4.37253468377942e-08,0.00021910478180617245,2.6590098957434618e-05,6.234761370360019e-05,2.7207866531048023e-14,2.0473917146708174e-06,2.5560877989365914e-06,1.5509431026809395e-13,1.8798885120134653e-06,5.039012069138663e-07,4.4393092690699934e-07,1.0183208525221883e-06
0.003375,539.1606100572733,0.0606081460962871,0.5881376169573884,0.6922608596198448,9.358137124861438e-08,0.123841560895682,0.12087603030059663,0.017635006589724583,0.010448392618048995,0.02417976283641153,1.5764399978979626e-15,6.332512960559102e-14,2.670932181044065e-19,0.009165989312097758,0.0008406110248423464,5.566442872151356e-08,0.00028693882510886945,3.572015587557735e-05,8.632543524389951e-05,4.959006627886733e-14,2.932385898232105e-06,3.875849241411743e-06,2.403284076568363e-13,2.941432624462837e-06,8.259327080222731e-07,7.497153165090345e-07,1.723780751141134e-06
0.0035,577.3707856169061,0.0583559195396365,0.5490759186566372,0.6620425895243467,1.1072218260090887e-07,0.14483915789515908,0.12139742905933754,0.020620656292077908,0.012638619529340164,0.025620020955236297,5.29166500117452e-15,1.1594725092828679e-13,6.759623467180959e-19,0.010897328555537602,0.0009733299610166185,6.949737127794378e-08,0.0003667438845145309,4.6728276112717024e-05,0.0001160306127952252,8.959742917168984e-14,4.0648271900212235e-06,5.657483736877726e-06,3.504021460130883e-13,4.417848192746011e-06,1.2939684805993574e-06,1.2069049536062023e-06,2.780770652411974e-06
0.0035625,597.3706162353099,0.05701815804691033,0.5306622508833945,0.6462261613788138,1.1998715669690494e-07,0.15584267746635092,0.1216619354968509,0.02218371448669284,0.013808823715977052,0.026330447255584217,8.6085579236945e-15,1.6224808299225774e-13,1.0721528834349278e-18,0.011810240717551374,0.0010422527578343075,7.721409432398932e-08,0.0004109834064951488,5.293466159801227e-05,0.0001330892572317522,1.1802431524501507e-13,4.729940743522499e-06,6.7439321607813715e-06,3.955590077070137e-13,5.337477925387089e-06,1.5948473100639417e-06,1.50690845833306e-06,3.475343713311979e-06
0.003625,617.9440828716212,0.05552941930826043,0.5129885434735674,0.6299914580477946,1.2972982768373203e-07,0.1671452967166682,0.12192725763189184,0.023788140167190556,0.015025089068507809,0.027033486918882823,1.273012056572007e-14,2.3426785626107626e-13,1.6994789967664922e-18,0.01275115812227728,0.00111263762446579,8.551982329822023e-08,0.00045803029175995577,5.960622873407168e-05,0.00015163966421925318,1.5425412623756192e-13,5.4637192992675655e-06,7.971953406436382e-06,4.2472871284471335e-13,6.3914532987537944e-06,1.9469186446412736e-06,1.8627758032083603e-06,4.300006345092709e-06
0.0036875,639.0590082142752,0.05388173159087888,0.4960551390936347,0.6133918755791978,1.399691479548786e-07,0.17870964854383664,0.12219215585916074,0.02542854879774068,0.016282792133214086,0.027728558951250884,1.7509817223497848e-14,3.5145825725464817e-13,2.7009098896977918e-18,0.013716527096918374,0.0011842556556472148,9.448435616861655e-08,0.0005077047199657699,6.67204437769888e-05,0.00017162923345560513,2.0144031403483858e-13,6.264935745002577e-06,9.342969892363398e-06,4.33259618365357e-13,7.583246578924958e-06,2.3526942455617274e-06,2.278106036838259e-06,5.263209207448156e-06
0.00375,660.6844011924964,0.05206819174862532,0.4798542428523062,0.5964809291599676,1.5073246805646153e-07,0.19049824741353036,0.12245556860030228,0.02709956081300779,0.01757714267790745,0.028415174483633728,2.355488402866343e-14,5.498739220236064e-13,4.2862269351960776e-18,0.014702778776957182,0.001256882562937703,1.0420975928449672e-07,0.0005598010506735518,7.424953360147786e-05,0.00019298567106758744,2.6510056875162445e-13,7.1313066655255905e-06,1.0855899560919188e-05,4.247097244372572e-13,8.91383906530224e-06,2.813701396870577e-06,2.755428474380288e-06,6.370869566171549e-06
0.0038125,682.7903137368814,0.05008290551507742,0.46437184639139506,0.5793116428938544,1.6205773077886234e-07,0.20247391731564293,0.12271660153692728,0.028795862802389396,0.018903260877022567,0.02909292807656337,3.267704375573655e-14,8.956618518951462e-13,6.726087227011728e-18,0.015706376860009877,0.0013303007373278869,1.1484204328559406e-07,0.0006140928774090428,8.216124533041186e-05,0.0002156192165807013,3.5331734207945027e-13,8.059564582835099e-06,1.2507180487458018e-05,4.091106976622412e-13,1.0381654269569516e-05,3.330396176636163e-06,3.296059394115077e-06,7.626015311010936e-06
0.003875,705.3476804936314,0.04792092693787173,0.44958933670611206,0.5619360189305657,1.739948800873531e-07,0.21460016442850868,0.12297451417866946,0.03051226015459943,0.020256247116525322,0.02976148941741341,4.8191975557932855e-14,1.5070697796532012e-12,1.0305455418667327e-17,0.016723858563846478,0.0014043009199288608,1.2658661333312855e-07,0.0006703381063354776,9.041965848174388e-05,0.0002394251994282127,4.764979243705685e-13,9.045556225278085e-06,1.429088523775586e-05,3.989168284111142e-13,1.1982594540612871e-05,3.902124504598806e-06,3.900015416337856e-06,9.028561164741547e-06
0.0039375,728.328157639089,0.04557819932300768,0.43548481479089995,0.5444045854532265,1.8660600366754352e-07,0.226841495225948,0.1232287049551772,0.032243721356231644,0.021631243809458692,0.030420595509830402,7.546816094329705e-14,2.591254251083152e-12,1.523824658047544e-17,0.017751868917329678,0.001478683511310064,1.397285616408345e-07,0.0007282838999431661,9.898601557330819e-05,0.0002642867897897416,6.469859423365277e-13,1.0084359975958669e-05,1.619891253327202e-05,4.0725051764693946e-13,1.3710172206930152e-05,4.527130509078174e-06,4.565986697717572e-06,1.0575227781409609e-05
0.004,751.7039715471715,0.04305149905892815,0.4220341578369222,0.5267660214073193,1.9996512710521127e-07,0.239163681931405,0.12347869573655156,0.0339854143149096,0.02302348897518898,0.03107004340550473,1.21798251107362e-13,4.514406060705551e-12,2.160019967892232e-17,0.018787188695133766,0.0015532595551868865,1.5465911649468265e-07,0.0007876713594996762,0.00010781954163250911,0.00029007781898680765,8.786623602245807e-13,1.117041550839817e-05,1.8221240946856316e-05,4.4849188803921293e-13,1.5555721465451572e-05,5.202608389445526e-06,5.2913685539016365e-06,1.225960478784705e-05
